8.33333e-16	1.17502e+20
1e-15	1.59064e+19
1.2e-15	1.78299e+19
1.44e-15	1.46057e+19
1.728e-15	2.16827e+19
2.0736e-15	1.61233e+19
2.48832e-15	2.07455e+19
2.98598e-15	1.60475e+19
3.58318e-15	1.60494e+19
4.29982e-15	1.71892e+19
5.15978e-15	1.6215e+19
6.19174e-15	1.66903e+19
7.43008e-15	1.68149e+19
8.9161e-15	1.67793e+19
1.06993e-14	1.55096e+19
1.28392e-14	1.54437e+19
1.5407e-14	1.54325e+19
1.84884e-14	1.42699e+19
2.21861e-14	1.46849e+19
2.66233e-14	1.34174e+19
3.1948e-14	1.3507e+19
3.83376e-14	1.31596e+19
4.60051e-14	1.31321e+19
5.52061e-14	1.23661e+19
6.62474e-14	1.24461e+19
7.94968e-14	1.20473e+19
9.53962e-14	1.20941e+19
1.14475e-13	1.15384e+19
1.37371e-13	1.20823e+19
1.64845e-13	1.16494e+19
1.97814e-13	1.13702e+19
2.37376e-13	1.06396e+19
2.84852e-13	9.47393e+18
3.41822e-13	7.55905e+18
4.10186e-13	5.46849e+18
4.92224e-13	3.56578e+18
5.90668e-13	1.86329e+18
7.08802e-13	8.4465e+17
8.50562e-13	2.8211e+17
1.02067e-12	7.37739e+16
1.22481e-12	2.05197e+16
1.46977e-12	2.58747e+15
1.76373e-12	0
2.11647e-12	0
2.53977e-12	0
3.04772e-12	0
3.65726e-12	0
4.38871e-12	0
5.26646e-12	0
